date,value,value2,value3
2021-01-01,40000.00,50000.00,90000.00
2021-01-02,40000.00,50000.00,90000.00
2021-01-03,40000.00,50000.00,90000.00
2021-01-04,40000.00,50000.00,90000.00
2021-01-05,40000.00,50000.00,90000.00
2021-01-06,40000.00,50000.00,90000.00
2021-01-07,40000.00,50000.00,90000.00
2021-01-08,40000.00,50000.00,90000.00
2021-01-09,40000.00,50000.00,90000.00
2021-01-10,40000.00,50000.00,90000.00
2021-01-11,40000.00,50000.00,90000.00
2021-01-12,40000.00,50000.00,90000.00
2021-01-13,40000.00,50000.00,90000.00
2021-01-14,40000.00,50000.00,90000.00
2021-01-15,40000.00,50000.00,90000.00
2021-01-16,40000.00,50000.00,90000.00
2021-01-17,40000.00,50000.00,90000.00
2021-01-18,40000.00,50000.00,90000.00
2021-01-19,40000.00,50000.00,90000.00
2021-01-20,40000.00,50000.00,90000.00
2021-01-21,40000.00,50000.00,90000.00
2021-01-22,40000.00,50000.00,90000.00
2021-01-23,40000.00,50000.00,90000.00
2021-01-24,40000.00,50000.00,90000.00
2021-01-25,40000.00,50000.00,90000.00
2021-01-26,40000.00,50000.00,90000.00
2021-01-27,40000.00,50000.00,90000.00
2021-01-28,40000.00,50000.00,90000.00
2021-01-29,40000.00,50000.00,90000.00
2021-01-30,40000.00,50000.00,90000.00
2021-01-31,40000.00,50000.00,90000.00
2021-02-01,40000.00,50000.00,90000.00
2021-02-02,40000.00,50000.00,90000.00
2021-02-03,40000.00,50000.00,90000.00
2021-02-04,40000.00,50000.00,90000.00
2021-02-05,40000.00,50000.00,90000.00
2021-02-06,40000.00,50000.00,90000.00
2021-02-07,40000.00,50000.00,90000.00
2021-02-08,40000.00,50000.00,90000.00
2021-02-09,40000.00,50000.00,90000.00
2021-02-10,40000.00,50000.00,90000.00
2021-02-11,40000.00,50000.00,90000.00
2021-02-12,40000.00,50000.00,90000.00
2021-02-13,40000.00,50000.00,90000.00
2021-02-14,40000.00,50000.00,90000.00
2021-02-15,40000.00,50000.00,90000.00
2021-02-16,40000.00,50000.00,90000.00
2021-02-17,40000.00,50000.00,90000.00
2021-02-18,40000.00,50000.00,90000.00
2021-02-19,40000.00,50000.00,90000.00
2021-02-20,40000.00,50000.00,90000.00
2021-02-21,40000.00,50000.00,90000.00
2021-02-22,40000.00,50000.00,90000.00
2021-02-23,40000.00,50000.00,90000.00
2021-02-24,40000.00,50000.00,90000.00
2021-02-25,40000.00,50000.00,90000.00
2021-02-26,40000.00,50000.00,90000.00
2021-02-27,40000.00,50000.00,90000.00
2021-02-28,40000.00,50000.00,90000.00
2021-03-01,40000.00,50000.00,90000.00
2021-03-02,40000.00,50000.00,90000.00
2021-03-03,40000.00,50000.00,90000.00
2021-03-04,40000.00,50000.00,90000.00
2021-03-05,40000.00,50000.00,90000.00
2021-03-06,40000.00,50000.00,90000.00
2021-03-07,40000.00,50000.00,90000.00
2021-03-08,40000.00,50000.00,90000.00
2021-03-09,40000.00,50000.00,90000.00
2021-03-10,40000.00,50000.00,90000.00
2021-03-11,40000.00,50000.00,90000.00
2021-03-12,40000.00,50000.00,90000.00
2021-03-13,40000.00,50000.00,90000.00
2021-03-14,40000.00,50000.00,90000.00
2021-03-15,40000.00,50000.00,90000.00
2021-03-16,40000.00,50000.00,90000.00
2021-03-17,40000.00,50000.00,90000.00
2021-03-18,40000.00,50000.00,90000.00
2021-03-19,40000.00,50000.00,90000.00
2021-03-20,40000.00,50000.00,90000.00
2021-03-21,40000.00,50000.00,90000.00
2021-03-22,40000.00,50000.00,90000.00
2021-03-23,40000.00,50000.00,90000.00
2021-03-24,40000.00,50000.00,90000.00
2021-03-25,40000.00,50000.00,90000.00
2021-03-26,40000.00,50000.00,90000.00
2021-03-27,40000.00,50000.00,90000.00
2021-03-28,40000.00,50000.00,90000.00
2021-03-29,40000.00,50000.00,90000.00
2021-03-30,40000.00,50000.00,90000.00
2021-03-31,40000.00,50000.00,90000.00
